Compactness,WallArea,RoofArea,Height,Orientation,WindowArea,WindowDistribution,CoolingLoad
0.98,294,110.25,7,NorthFacing,0,None,26.2425
0.98,294,110.25,7,SouthFacing,0,None,20.2682
0.98,294,110.25,7,EastFacing,0,None,22.1888
0.98,294,110.25,7,WestFacing,0,None,24.2053
0.9,318.5,122.5,7,NorthFacing,0,None,28.4243
0.9,318.5,122.5,7,SouthFacing,0,None,27.7174
0.9,318.5,122.5,7,EastFacing,0,None,28.205
0.9,318.5,122.5,7,WestFacing,0,None,31.7925
0.86,294,147,7,NorthFacing,0,None,30.2729
0.86,294,147,7,SouthFacing,0,None,24.6628
0.86,294,147,7,EastFacing,0,None,29.0072
0.86,294,147,7,WestFacing,0,None,25.8867
0.82,318.5,147,7,NorthFacing,0,None,30.8127
0.82,318.5,147,7,SouthFacing,0,None,19.9445
0.82,318.5,147,7,EastFacing,0,None,29.665
0.82,318.5,147,7,WestFacing,0,None,28.328
0.79,343,147,7,NorthFacing,0,None,23.7782
0.79,343,147,7,SouthFacing,0,None,26.3119
0.79,343,147,7,EastFacing,0,None,30.2119
0.79,343,147,7,WestFacing,0,None,27.9684
0.76,416.5,122.5,7,NorthFacing,0,None,27.1709
0.76,416.5,122.5,7,SouthFacing,0,None,32.2053
0.76,416.5,122.5,7,EastFacing,0,None,33.4477
0.76,416.5,122.5,7,WestFacing,0,None,28.9779
0.74,245,220.5,3.5,NorthFacing,0,None,11.5344
0.74,245,220.5,3.5,SouthFacing,0,None,11.81
0.74,245,220.5,3.5,EastFacing,0,None,2.9431
0.74,245,220.5,3.5,WestFacing,0,None,5.5083
0.71,269.5,220.5,3.5,NorthFacing,0,None,12.7295
0.71,269.5,220.5,3.5,SouthFacing,0,None,9.406
0.71,269.5,220.5,3.5,EastFacing,0,None,10.4512
0.71,269.5,220.5,3.5,WestFacing,0,None,10.8412
0.69,294,220.5,3.5,NorthFacing,0,None,9.7808
0.69,294,220.5,3.5,SouthFacing,0,None,11.6912
0.69,294,220.5,3.5,EastFacing,0,None,6.7658
0.69,294,220.5,3.5,WestFacing,0,None,11.9349
0.66,318.5,220.5,3.5,NorthFacing,0,None,12.4132
0.66,318.5,220.5,3.5,SouthFacing,0,None,11.5259
0.66,318.5,220.5,3.5,EastFacing,0,None,17.0326
0.66,318.5,220.5,3.5,WestFacing,0,None,10.655
0.64,343,220.5,3.5,NorthFacing,0,None,5.3474
0.64,343,220.5,3.5,SouthFacing,0,None,17.3487
0.64,343,220.5,3.5,EastFacing,0,None,13.7763
0.64,343,220.5,3.5,WestFacing,0,None,10.3845
0.62,367.5,220.5,3.5,NorthFacing,0,None,9.4831
0.62,367.5,220.5,3.5,SouthFacing,0,None,9.6957
0.62,367.5,220.5,3.5,EastFacing,0,None,4.6663
0.62,367.5,220.5,3.5,WestFacing,0,None,13.1499
0.98,294,110.25,7,NorthFacing,0.1,UniformWindows,22.1374
0.98,294,110.25,7,SouthFacing,0.1,UniformWindows,27.7492
0.98,294,110.25,7,EastFacing,0.1,UniformWindows,26.2694
0.98,294,110.25,7,WestFacing,0.1,UniformWindows,22.4925
0.9,318.5,122.5,7,NorthFacing,0.1,UniformWindows,29.4726
0.9,318.5,122.5,7,SouthFacing,0.1,UniformWindows,29.6487
0.9,318.5,122.5,7,EastFacing,0.1,UniformWindows,27.4268
0.9,318.5,122.5,7,WestFacing,0.1,UniformWindows,26.087
0.86,294,147,7,NorthFacing,0.1,UniformWindows,32.5891
0.86,294,147,7,SouthFacing,0.1,UniformWindows,26.4337
0.86,294,147,7,EastFacing,0.1,UniformWindows,27.5532
0.86,294,147,7,WestFacing,0.1,UniformWindows,31.7445
0.82,318.5,147,7,NorthFacing,0.1,UniformWindows,33.386
0.82,318.5,147,7,SouthFacing,0.1,UniformWindows,38.5635
0.82,318.5,147,7,EastFacing,0.1,UniformWindows,32.4005
0.82,318.5,147,7,WestFacing,0.1,UniformWindows,30.6601
0.79,343,147,7,NorthFacing,0.1,UniformWindows,31.6081
0.79,343,147,7,SouthFacing,0.1,UniformWindows,39.1461
0.79,343,147,7,EastFacing,0.1,UniformWindows,34.8023
0.79,343,147,7,WestFacing,0.1,UniformWindows,38.4309
0.76,416.5,122.5,7,NorthFacing,0.1,UniformWindows,36.4355
0.76,416.5,122.5,7,SouthFacing,0.1,UniformWindows,38.254
0.76,416.5,122.5,7,EastFacing,0.1,UniformWindows,32.9842
0.76,416.5,122.5,7,WestFacing,0.1,UniformWindows,41.808
0.74,245,220.5,3.5,NorthFacing,0.1,UniformWindows,17.7747
0.74,245,220.5,3.5,SouthFacing,0.1,UniformWindows,12.1281
0.74,245,220.5,3.5,EastFacing,0.1,UniformWindows,14.7117
0.74,245,220.5,3.5,WestFacing,0.1,UniformWindows,11.324
0.71,269.5,220.5,3.5,NorthFacing,0.1,UniformWindows,13.0095
0.71,269.5,220.5,3.5,SouthFacing,0.1,UniformWindows,14.925
0.71,269.5,220.5,3.5,EastFacing,0.1,UniformWindows,9.1204
0.71,269.5,220.5,3.5,WestFacing,0.1,UniformWindows,16.3941
0.69,294,220.5,3.5,NorthFacing,0.1,UniformWindows,9.1492
0.69,294,220.5,3.5,SouthFacing,0.1,UniformWindows,14.4091
0.69,294,220.5,3.5,EastFacing,0.1,UniformWindows,15.2076
0.69,294,220.5,3.5,WestFacing,0.1,UniformWindows,12.6478
0.66,318.5,220.5,3.5,NorthFacing,0.1,UniformWindows,15.3607
0.66,318.5,220.5,3.5,SouthFacing,0.1,UniformWindows,19.4323
0.66,318.5,220.5,3.5,EastFacing,0.1,UniformWindows,16.2278
0.66,318.5,220.5,3.5,WestFacing,0.1,UniformWindows,12.3183
0.64,343,220.5,3.5,NorthFacing,0.1,UniformWindows,19.4469
0.64,343,220.5,3.5,SouthFacing,0.1,UniformWindows,16.1947
0.64,343,220.5,3.5,EastFacing,0.1,UniformWindows,21.5667
0.64,343,220.5,3.5,WestFacing,0.1,UniformWindows,12.974
0.62,367.5,220.5,3.5,NorthFacing,0.1,UniformWindows,14.5242
0.62,367.5,220.5,3.5,SouthFacing,0.1,UniformWindows,8.2705
0.62,367.5,220.5,3.5,EastFacing,0.1,UniformWindows,15.9029
0.62,367.5,220.5,3.5,WestFacing,0.1,UniformWindows,20.7706
0.98,294,110.25,7,NorthFacing,0.1,NorthWindows,32.1418
0.98,294,110.25,7,SouthFacing,0.1,NorthWindows,29.4584
0.98,294,110.25,7,EastFacing,0.1,NorthWindows,32.5048
0.98,294,110.25,7,WestFacing,0.1,NorthWindows,26.507
0.9,318.5,122.5,7,NorthFacing,0.1,NorthWindows,30.6571
0.9,318.5,122.5,7,SouthFacing,0.1,NorthWindows,28.8544
0.9,318.5,122.5,7,EastFacing,0.1,NorthWindows,25.5078
0.9,318.5,122.5,7,WestFacing,0.1,NorthWindows,33.4083
0.86,294,147,7,NorthFacing,0.1,NorthWindows,27.3243
0.86,294,147,7,SouthFacing,0.1,NorthWindows,30.1662
0.86,294,147,7,EastFacing,0.1,NorthWindows,25.5106
0.86,294,147,7,WestFacing,0.1,NorthWindows,32.4206
0.82,318.5,147,7,NorthFacing,0.1,NorthWindows,36.4895
0.82,318.5,147,7,SouthFacing,0.1,NorthWindows,31.0629
0.82,318.5,147,7,EastFacing,0.1,NorthWindows,26.1619
0.82,318.5,147,7,WestFacing,0.1,NorthWindows,34.0366
0.79,343,147,7,NorthFacing,0.1,NorthWindows,35.2547
0.79,343,147,7,SouthFacing,0.1,NorthWindows,34.2309
0.79,343,147,7,EastFacing,0.1,NorthWindows,28.6484
0.79,343,147,7,WestFacing,0.1,NorthWindows,29.4555
0.76,416.5,122.5,7,NorthFacing,0.1,NorthWindows,33.488
0.76,416.5,122.5,7,SouthFacing,0.1,NorthWindows,36.7252
0.76,416.5,122.5,7,EastFacing,0.1,NorthWindows,34.1469
0.76,416.5,122.5,7,WestFacing,0.1,NorthWindows,42.0653
0.74,245,220.5,3.5,NorthFacing,0.1,NorthWindows,14.6795
0.74,245,220.5,3.5,SouthFacing,0.1,NorthWindows,7.7947
0.74,245,220.5,3.5,EastFacing,0.1,NorthWindows,20.2391
0.74,245,220.5,3.5,WestFacing,0.1,NorthWindows,15.1168
0.71,269.5,220.5,3.5,NorthFacing,0.1,NorthWindows,13.6198
0.71,269.5,220.5,3.5,SouthFacing,0.1,NorthWindows,11.0546
0.71,269.5,220.5,3.5,EastFacing,0.1,NorthWindows,12.7753
0.71,269.5,220.5,3.5,WestFacing,0.1,NorthWindows,11.7258
0.69,294,220.5,3.5,NorthFacing,0.1,NorthWindows,14.9977
0.69,294,220.5,3.5,SouthFacing,0.1,NorthWindows,16.5135
0.69,294,220.5,3.5,EastFacing,0.1,NorthWindows,11.4516
0.69,294,220.5,3.5,WestFacing,0.1,NorthWindows,15.4167
0.66,318.5,220.5,3.5,NorthFacing,0.1,NorthWindows,18.5435
0.66,318.5,220.5,3.5,SouthFacing,0.1,NorthWindows,12.2335
0.66,318.5,220.5,3.5,EastFacing,0.1,NorthWindows,14.2311
0.66,318.5,220.5,3.5,WestFacing,0.1,NorthWindows,13.4405
0.64,343,220.5,3.5,NorthFacing,0.1,NorthWindows,10.3371
0.64,343,220.5,3.5,SouthFacing,0.1,NorthWindows,14.8307
0.64,343,220.5,3.5,EastFacing,0.1,NorthWindows,15.3652
0.64,343,220.5,3.5,WestFacing,0.1,NorthWindows,13.6832
0.62,367.5,220.5,3.5,NorthFacing,0.1,NorthWindows,16.0125
0.62,367.5,220.5,3.5,SouthFacing,0.1,NorthWindows,13.7046
0.62,367.5,220.5,3.5,EastFacing,0.1,NorthWindows,19.8429
0.62,367.5,220.5,3.5,WestFacing,0.1,NorthWindows,17.627
0.98,294,110.25,7,NorthFacing,0.1,SouthWindows,38.1516
0.98,294,110.25,7,SouthFacing,0.1,SouthWindows,27.7544
0.98,294,110.25,7,EastFacing,0.1,SouthWindows,28.3284
0.98,294,110.25,7,WestFacing,0.1,SouthWindows,26.7129
0.9,318.5,122.5,7,NorthFacing,0.1,SouthWindows,30.9799
0.9,318.5,122.5,7,SouthFacing,0.1,SouthWindows,30.4153
0.9,318.5,122.5,7,EastFacing,0.1,SouthWindows,37.4292
0.9,318.5,122.5,7,WestFacing,0.1,SouthWindows,27.932
0.86,294,147,7,NorthFacing,0.1,SouthWindows,28.4191
0.86,294,147,7,SouthFacing,0.1,SouthWindows,24.7101
0.86,294,147,7,EastFacing,0.1,SouthWindows,28.499
0.86,294,147,7,WestFacing,0.1,SouthWindows,32.8698
0.82,318.5,147,7,NorthFacing,0.1,SouthWindows,31.3596
0.82,318.5,147,7,SouthFacing,0.1,SouthWindows,37.6577
0.82,318.5,147,7,EastFacing,0.1,SouthWindows,26.6774
0.82,318.5,147,7,WestFacing,0.1,SouthWindows,24.2811
0.79,343,147,7,NorthFacing,0.1,SouthWindows,30.713
0.79,343,147,7,SouthFacing,0.1,SouthWindows,29.6569
0.79,343,147,7,EastFacing,0.1,SouthWindows,39.4229
0.79,343,147,7,WestFacing,0.1,SouthWindows,31.1582
0.76,416.5,122.5,7,NorthFacing,0.1,SouthWindows,36.8295
0.76,416.5,122.5,7,SouthFacing,0.1,SouthWindows,44.0041
0.76,416.5,122.5,7,EastFacing,0.1,SouthWindows,38.6729
0.76,416.5,122.5,7,WestFacing,0.1,SouthWindows,40.3098
0.74,245,220.5,3.5,NorthFacing,0.1,SouthWindows,8.0013
0.74,245,220.5,3.5,SouthFacing,0.1,SouthWindows,11.0546
0.74,245,220.5,3.5,EastFacing,0.1,SouthWindows,11.8314
0.74,245,220.5,3.5,WestFacing,0.1,SouthWindows,15.4633
0.71,269.5,220.5,3.5,NorthFacing,0.1,SouthWindows,14.5519
0.71,269.5,220.5,3.5,SouthFacing,0.1,SouthWindows,10.9579
0.71,269.5,220.5,3.5,EastFacing,0.1,SouthWindows,10.0556
0.71,269.5,220.5,3.5,WestFacing,0.1,SouthWindows,14.9871
0.69,294,220.5,3.5,NorthFacing,0.1,SouthWindows,11.6574
0.69,294,220.5,3.5,SouthFacing,0.1,SouthWindows,12.1824
0.69,294,220.5,3.5,EastFacing,0.1,SouthWindows,13.8702
0.69,294,220.5,3.5,WestFacing,0.1,SouthWindows,15.9928
0.66,318.5,220.5,3.5,NorthFacing,0.1,SouthWindows,13.2264
0.66,318.5,220.5,3.5,SouthFacing,0.1,SouthWindows,19.4863
0.66,318.5,220.5,3.5,EastFacing,0.1,SouthWindows,15.9809
0.66,318.5,220.5,3.5,WestFacing,0.1,SouthWindows,14.711
0.64,343,220.5,3.5,NorthFacing,0.1,SouthWindows,10.25
0.64,343,220.5,3.5,SouthFacing,0.1,SouthWindows,13.9355
0.64,343,220.5,3.5,EastFacing,0.1,SouthWindows,11.4543
0.64,343,220.5,3.5,WestFacing,0.1,SouthWindows,19.3963
0.62,367.5,220.5,3.5,NorthFacing,0.1,SouthWindows,13.9816
0.62,367.5,220.5,3.5,SouthFacing,0.1,SouthWindows,14.4323
0.62,367.5,220.5,3.5,EastFacing,0.1,SouthWindows,12.5643
0.62,367.5,220.5,3.5,WestFacing,0.1,SouthWindows,15.3548
0.98,294,110.25,7,NorthFacing,0.1,EastWindows,26.0036
0.98,294,110.25,7,SouthFacing,0.1,EastWindows,31.2695
0.98,294,110.25,7,EastFacing,0.1,EastWindows,33.6853
0.98,294,110.25,7,WestFacing,0.1,EastWindows,29.8116
0.9,318.5,122.5,7,NorthFacing,0.1,EastWindows,35.0532
0.9,318.5,122.5,7,SouthFacing,0.1,EastWindows,36.3003
0.9,318.5,122.5,7,EastFacing,0.1,EastWindows,29.6615
0.9,318.5,122.5,7,WestFacing,0.1,EastWindows,30.0934
0.86,294,147,7,NorthFacing,0.1,EastWindows,28.6554
0.86,294,147,7,SouthFacing,0.1,EastWindows,30.215
0.86,294,147,7,EastFacing,0.1,EastWindows,27.1418
0.86,294,147,7,WestFacing,0.1,EastWindows,33.8254
0.82,318.5,147,7,NorthFacing,0.1,EastWindows,29.7408
0.82,318.5,147,7,SouthFacing,0.1,EastWindows,28.265
0.82,318.5,147,7,EastFacing,0.1,EastWindows,29.5274
0.82,318.5,147,7,WestFacing,0.1,EastWindows,31.2775
0.79,343,147,7,NorthFacing,0.1,EastWindows,32.1051
0.79,343,147,7,SouthFacing,0.1,EastWindows,33.2124
0.79,343,147,7,EastFacing,0.1,EastWindows,30.895
0.79,343,147,7,WestFacing,0.1,EastWindows,33.818
0.76,416.5,122.5,7,NorthFacing,0.1,EastWindows,32.1418
0.76,416.5,122.5,7,SouthFacing,0.1,EastWindows,33.6686
0.76,416.5,122.5,7,EastFacing,0.1,EastWindows,33.2359
0.76,416.5,122.5,7,WestFacing,0.1,EastWindows,29.6731
0.74,245,220.5,3.5,NorthFacing,0.1,EastWindows,8.8193
0.74,245,220.5,3.5,SouthFacing,0.1,EastWindows,15.0225
0.74,245,220.5,3.5,EastFacing,0.1,EastWindows,14.939
0.74,245,220.5,3.5,WestFacing,0.1,EastWindows,11.0344
0.71,269.5,220.5,3.5,NorthFacing,0.1,EastWindows,12.8426
0.71,269.5,220.5,3.5,SouthFacing,0.1,EastWindows,18.1964
0.71,269.5,220.5,3.5,EastFacing,0.1,EastWindows,13.6713
0.71,269.5,220.5,3.5,WestFacing,0.1,EastWindows,17.8988
0.69,294,220.5,3.5,NorthFacing,0.1,EastWindows,16.0311
0.69,294,220.5,3.5,SouthFacing,0.1,EastWindows,10.4866
0.69,294,220.5,3.5,EastFacing,0.1,EastWindows,14.0065
0.69,294,220.5,3.5,WestFacing,0.1,EastWindows,14.695
0.66,318.5,220.5,3.5,NorthFacing,0.1,EastWindows,12.9262
0.66,318.5,220.5,3.5,SouthFacing,0.1,EastWindows,18.583
0.66,318.5,220.5,3.5,EastFacing,0.1,EastWindows,19.0903
0.66,318.5,220.5,3.5,WestFacing,0.1,EastWindows,15.7647
0.64,343,220.5,3.5,NorthFacing,0.1,EastWindows,21.3854
0.64,343,220.5,3.5,SouthFacing,0.1,EastWindows,11.3816
0.64,343,220.5,3.5,EastFacing,0.1,EastWindows,10.2909
0.64,343,220.5,3.5,WestFacing,0.1,EastWindows,15.3891
0.62,367.5,220.5,3.5,NorthFacing,0.1,EastWindows,12.9803
0.62,367.5,220.5,3.5,SouthFacing,0.1,EastWindows,9.0894
0.62,367.5,220.5,3.5,EastFacing,0.1,EastWindows,19.0882
0.62,367.5,220.5,3.5,WestFacing,0.1,EastWindows,19.6539
0.98,294,110.25,7,NorthFacing,0.1,WestWindows,26.5204
0.98,294,110.25,7,SouthFacing,0.1,WestWindows,25.6839
0.98,294,110.25,7,EastFacing,0.1,WestWindows,25.1509
0.98,294,110.25,7,WestFacing,0.1,WestWindows,25.3109
0.9,318.5,122.5,7,NorthFacing,0.1,WestWindows,30.198
0.9,318.5,122.5,7,SouthFacing,0.1,WestWindows,31.913
0.9,318.5,122.5,7,EastFacing,0.1,WestWindows,35.2676
0.9,318.5,122.5,7,WestFacing,0.1,WestWindows,29.5126
0.86,294,147,7,NorthFacing,0.1,WestWindows,28.2678
0.86,294,147,7,SouthFacing,0.1,WestWindows,26.6389
0.86,294,147,7,EastFacing,0.1,WestWindows,30.8256
0.86,294,147,7,WestFacing,0.1,WestWindows,28.2514
0.82,318.5,147,7,NorthFacing,0.1,WestWindows,33.2676
0.82,318.5,147,7,SouthFacing,0.1,WestWindows,30.4727
0.82,318.5,147,7,EastFacing,0.1,WestWindows,37.2627
0.82,318.5,147,7,WestFacing,0.1,WestWindows,25.8428
0.79,343,147,7,NorthFacing,0.1,WestWindows,31.2502
0.79,343,147,7,SouthFacing,0.1,WestWindows,29.5262
0.79,343,147,7,EastFacing,0.1,WestWindows,34.4632
0.79,343,147,7,WestFacing,0.1,WestWindows,29.4368
0.76,416.5,122.5,7,NorthFacing,0.1,WestWindows,33.5094
0.76,416.5,122.5,7,SouthFacing,0.1,WestWindows,34.8172
