"","Birthday","Home.City","Nationality","Height..in.","Weight..lbs.","Dominant.Hand","Age","Seasons.Played","Team","Games.Played","Number.of.Penalties","Goals.Scored","Average.Shot.Distance"
"1","11/21/89","Dorchester","USA",74.3242723040666,215,"R",28,7,"NJD",33,2,3,19.2432
"2","12/23/87","Helsinki","FIN",75.7905487318997,212,"L",30,4,"PHI",62,9,3,26.1111
"3","6/7/90","Winnipeg","CAN",73.7416303257114,210,"R",27,7,"CGY",82,9,3,55.4286
"4","4/18/82","Regina","CAN",73.0813932606882,215,"L",35,17,"NSH",62,11,13,32.5732
"5","3/24/81","Bolton","USA",73.8317295742685,205,"L",36,15,"TOR",80,2,4,65.3288
"6","9/26/79","Regina","CAN",71.7889846231328,195,"L",38,14,"TBL",82,5,13,28.5309
"7","2/6/90","Brantford","CAN",71.2120220630131,195,"L",27,8,"NJD, ANA",81,10,24,25.2252
"8","9/26/80","San Francisco","USA",70.8878820675575,217,"L",37,15,"WSH",81,14,0,59.5556
"9","3/30/95","SANDY","USA",71.7229609602872,203,"L",22,1,"LAK",1,0,0,0
"10","2/22/91","Golden","CAN",72.7040977583218,205,"L",26,4,"DAL",7,2,0,24.0909
"11","6/8/93","Dubuque","USA",73.7164200229356,199,"R",24,1,"WPG",24,1,1,56.1852
"12","10/4/81","Cobourg","CAN",70.7043990752768,188,"R",36,17,"CAR",82,12,16,34.803
"13","1/12/81","Stockholm","SWE",73.7009835320925,194,"L",37,14,"DET",79,5,4,57.6184
"14","5/30/90","Marshfield","USA",73.4510867296308,170,"L",27,5,"COL",16,1,0,51.7778
"15","8/5/88","Winnipeg","CAN",75.0060869917055,206,"R",29,8,"PHI",46,10,4,32.6818
"16","7/3/90","Edina","USA",71.8532147475953,231,"L",27,6,"NYI",82,14,40,21.7308
"17","6/7/90","Chatham","CAN",76.2609541475786,182,"L",27,8,"CGY",73,8,4,53.2203
"18","9/1/89","Halmstad","SWE",72.5722190924684,184,"L",28,7,"DET",82,14,21,31.1315
"19","4/20/90","Abbotsford","CAN",70.5809892722367,215,"L",27,5,"ANA",66,5,12,23.1231
"20","12/24/89","Brandon","CAN",74.0378705361763,186,"L",28,8,"CBJ",69,5,9,26.7778
"21","3/5/81","Minneapolis","USA",68.7953603301144,200,"L",36,14,"SJS",14,0,0,58.6667
"22","6/20/90","Sterling Heights","USA",67.7409148034498,224,"R",27,5,"DAL",73,10,1,61.23
"23","10/29/84","Thunder Bay","CAN",73.037732847763,209,"L",33,14,"MIN",82,13,42,31.1818
"24","1/19/84","Vienna","AUT",71.64912870397,214,"R",34,13,"VAN, CBJ",80,7,24,29.5179
"25","1/21/85","Madison","USA",72.3509999544229,202,"L",33,13,"MIN",78,6,6,50.0201
"26","2/27/85","Shaunavon","CAN",72.4103031431951,223,"L",32,13,"TBL",72,4,1,52.9589
"27","4/10/85","Edmonton","CAN",76.964569597051,225,"L",32,13,"OTT, LAK",79,17,6,53.7985
"28","1/1/85","London","CAN",71.0060538770005,217,"R",33,13,"LAK",27,5,13,25.2118
"29","11/4/84","Ithaca","USA",73.1859783028949,216,"R",33,14,"LAK",81,26,28,29.5946
"30","4/20/85","Richmond","CAN",77.3034965281665,220,"R",32,13,"CHI",81,8,7,52.8309
"31","3/31/85","Quebec City","CAN",76.8254466598523,224,"R",32,12,"NYI",4,1,0,9
"32","7/28/84","Minneapolis","USA",72.4538277655578,195,"L",33,13,"MIN",42,17,15,24.7395
"33","9/7/85","Winkler","CAN",69.2730535254511,208,"R",32,13,"TOR, SJS",18,1,3,29.4074
"34","5/10/85","Regina","CAN",75.7807246054482,223,"R",32,13,"ANA",56,6,11,37.2393
"35","5/8/89","Windsor","CAN",70.8314453557509,220,"L",28,9,"TOR",50,11,3,33.3478
"36","8/31/84","Livonia","USA",73.3552381594505,202,"R",33,14,"ANA",44,13,8,24.641
"37","12/18/84","Hingham","USA",73.4016552853959,245,"L",33,11,"NJD",69,5,13,32.725
"38","11/29/89","Edmonton","CAN",72.2473343878294,168,"R",28,8,"MIN",61,5,9,46.7818
"39","3/23/90","Montreal","CAN",71.7092107868132,207,"L",27,6,"COL",46,3,3,56.2115
"40","5/1/84","Calgary","USA",75.0848526591337,202,"R",33,13,"ANA",2,1,1,35.3333
"41","8/3/80","Thornhill","CAN",74.965914722556,192,"L",37,13,"TOR",50,6,6,22.087
"42","7/17/85","Gothenburg","SWE",72.2325156363452,196,"L",32,12,"VAN",50,6,10,31.3168
"43","5/27/90","Stockholm","SWE",73.3820061011934,186,"L",27,8,"CAR",48,11,1,33.5
"44","10/30/97","Phoenix","USA",72.916158560045,205,"R",20,1,"STL",41,8,3,34.6545
"45","8/24/88","Maple Ridge","CAN",73.3868628572298,187,"L",29,5,"VGK",45,0,3,46.4875
"46","3/25/90","Provost","CAN",70.472944090484,208,"L",27,7,"CHI",53,15,3,19.0536
"47","7/24/85","Ancienne-Lorette","CAN",77.6696192434596,195,"R",32,14,"BOS",64,7,30,32.2277
"48","10/27/96","Malmö","SWE",72.7345157394574,214,"R",21,2,"CGY",10,3,0,50.125
"49","6/15/90","Mississauga","CAN",72.6285998684383,192,"L",27,6,"ARI",53,11,5,35
"50","8/14/85","Sicamous","CAN",72.7275098071616,230,"R",32,13,"MTL",26,5,6,54.8533
"51","4/12/88","Evanston","USA",71.5057683329663,200,"R",29,8,"CHI, BOS",75,21,9,28.814
"52","3/29/96","Elkhorn","CAN",70.9507082288716,181,"L",21,1,"PHI",49,2,2,51.2083
"53","7/26/88","Traverse City","USA",69.8915910724062,212,"R",29,6,"BUF",3,0,0,48
"54","4/12/91","Livonia","USA",71.5812099582226,186,"L",26,7,"BOS",76,14,14,48.8782
"55","7/29/94","Moscow","RUS",71.3517460700212,194,"L",23,1,"COL",10,0,1,46
"56","1/18/97","Olten","CHE",74.0780439296587,177,"R",21,2,"FLA",51,11,11,32.3165
"57","6/4/88","Pittsburgh","USA",75.6805565568524,196,"L",29,8,"CGY",18,0,0,53.5238
"58","3/17/95","Quebec City","CAN",68.9028559582024,185,"L",22,1,"OTT",10,0,1,43.8571
"59","5/1/84","Minneapolis","USA",74.2707105410879,221,"R",33,12,"BOS",57,6,14,37.6688
"60","6/17/81","Blaine","USA",74.9573602452077,209,"L",36,10,"WPG",60,7,5,39.6429
"61","7/2/90","Burnsville","USA",71.4094918799696,169,"R",27,6,"TBL, ANA",47,9,2,30.975
"62","4/23/90","Minneapolis","USA",75.0819718418474,205,"R",27,5,"BUF",15,1,0,52.12
"63","8/8/94","Prague","CZE",75.874821004531,176,"L",23,3,"PIT",33,4,4,25.9444
"64","4/2/96","Kosice","SVK",73.5944061489573,201,"R",21,1,"OTT",2,1,0,0
"65","4/28/89","Grand Rapids","USA",73.2733556361657,192,"R",28,5,"DET",69,15,11,31.2386
"66","9/10/97","Denver","USA",77.2351152625782,175,"R",20,1,"ANA",2,0,0,26.3333
"67","12/15/91","Saint-Narcisse","CAN",74.6106427937519,172,"L",26,3,"TBL",82,25,25,26.2206
"68","7/10/96","Chaska","USA",75.646854032843,175,"L",21,1,"WSH",3,0,0,27.25
"69","11/28/96","Brandon","CAN",70.2208078895186,209,"R",21,1,"VGK",1,0,0,0
"70","3/17/87","Cherry Hill","USA",69.439089217261,209,"R",30,11,"OTT",62,11,11,34.8393
"71","9/27/93","Regina","CAN",72.0188995648352,205,"L",24,5,"CBJ",44,1,1,50
"72","2/12/94","Milwaukee","USA",70.7582071316006,207,"L",23,6,"MTL",82,10,19,29.831
"73","3/9/94","Vancouver","CAN",75.7178162344155,217,"L",23,5,"TOR",76,9,6,52.0495
"74","1/20/94","Helsingborg","SWE",74.9900575945083,208,"L",24,5,"ANA",69,4,13,57.3053
"75","10/6/93","Nizhnekamsk","RUS",71.4513821280231,195,"L",24,6,"COL",58,12,9,33.7128
"76","7/25/94","Regina","CAN",72.8497193444516,184,"R",23,5,"MIN",82,13,14,54.6818
"77","9/23/93","Stockholm","SWE",75.4375460095981,196,"R",24,2,"NSH, EDM",53,10,4,31.5714
"78","10/9/93","Toronto","CAN",70.70652292388,200,"L",24,3,"CAR",49,5,5,36.3281
"79","7/26/87","Victoria","CAN",73.3156564438346,198,"L",30,7,"MTL",77,6,4,61.4906
"80","10/10/96","Haapavesi","FIN",72.4638379301726,176,"L",21,1,"WPG",1,0,1,29
"81","8/12/85","Kitchener","CAN",75.2273568787574,210,"L",32,13,"MIN",18,3,0,59.5455
"82","3/26/94","Lakeville","USA",72.5241215377968,211,"L",23,3,"NYR",82,15,4,43.4314
"83","2/23/94","Chicago","USA",68.5168436523201,220,"L",23,4,"VGK",8,2,0,39
"84","8/10/92","Kitchener","CAN",73.5690154713471,201,"L",25,5,"LAK",82,30,15,30.7722
"85","5/30/94","Oakville","CAN",70.8191747528871,190,"L",23,5,"PHI",81,21,10,31.3519
"86","9/13/94","Hamilton","CAN",72.4161828874482,202,"L",23,2,"CGY",72,13,17,27.7542
"87","8/22/94","Jyväskylä","FIN",73.213370363569,206,"L",23,5,"PIT",82,8,7,53.2439
"88","2/27/94","Pointe-Claire","CAN",72.7532138619433,192,"L",23,3,"FLA",81,20,10,48.4551
"89","10/8/93","Madison","USA",72.6811413338657,190,"R",24,2,"STL",13,1,0,53.4
"90","1/5/94","Riga","LVA",72.1779379496567,207,"L",24,5,"BUF",71,17,7,33.0708
"91","12/21/93","Ottawa","CAN",72.0458992054459,209,"R",24,5,"OTT",82,6,5,48.1678
"92","3/29/94","Toronto","CAN",70.7271743178905,218,"R",23,5,"WSH",78,46,14,30.7886
"93","11/12/93","Praha","CZE",73.5923597907607,220,"L",24,5,"SJS",79,19,22,23.7486
"94","9/11/94","Helsinki","FIN",73.2889374357094,178,"L",23,5,"CAR",82,7,23,33.4811
"95","1/16/94","Estevan","CAN",72.9309842478884,208,"L",24,4,"VAN",71,6,3,47.7692
"96","2/26/94","Rochester","USA",77.5438543527595,202,"R",23,5,"WPG",55,11,3,56.0069
"97","2/18/94","Winchester","CAN",73.4707443252247,193,"L",23,4,"TBL",35,1,4,46.3488
"98","8/13/94","Ostervala","SWE",72.7541471462063,205,"R",23,6,"NSH",67,13,26,30.095
"99","1/9/94","Vitkov","CZE",73.0670282251133,216,"L",24,3,"DAL",79,14,17,27.6387
"100","5/15/94","Ann Arbor","USA",76.1821140007343,205,"L",23,2,"OTT",1,0,1,56.6667
"101","1/5/94","Charlestown","USA",70.4868731492316,174,"L",24,2,"BOS",61,4,3,46.6098
"102","5/12/93","St. Albert","CAN",72.2777614797671,230,"R",24,3,"STL",82,16,6,52.8726
"103","5/19/94","Winnipeg","CAN",78.5706199133283,180,"L",23,2,"VGK, VAN",58,9,5,31.0105
"104","3/23/94","Boden","SWE",72.0091143272935,209,"R",23,3,"STL",42,9,1,28.1951
"105","2/4/85","Belleville","CAN",77.4187423537193,190,"L",32,13,"ARI",76,14,3,25.781
"106","5/23/94","Vantaa","FIN",70.2389777482087,213,"L",23,3,"DAL",80,6,7,55.0949
"107","6/21/85","Ottawa","CAN",71.6483518902104,233,"L",32,12,"DAL",36,3,1,69.4
"108","4/22/94","Saskatoon","CAN",72.2961685532023,203,"L",23,3,"WSH",67,5,6,25.1111
"109","4/20/93","Pembroke Pines","USA",73.1563906702167,180,"L",24,4,"PHI",78,20,13,52.1086
"110","7/19/94","Ajax","CAN",71.8754981432606,205,"L",23,3,"DAL",82,14,11,26.3008
"111","8/13/94","Surrey","CAN",71.7409368418787,214,"L",23,3,"EDM",69,12,11,27.3288
"112","8/16/94","Toronto","CAN",70.6957176697947,217,"L",23,3,"NYI",78,5,3,49.1226
"113","5/26/93","Boston","USA",74.4753196923644,206,"L",24,2,"NYR",79,15,17,20.8603
"114","10/5/84","Anchorage","USA",74.0531161473817,214,"L",33,11,"OTT, LAK",69,4,5,36.2453
"115","7/25/92","Brandon","CAN",68.7861547053381,204,"L",25,4,"ARI",81,16,6,28.2768
"116","1/23/94","Syracuse","USA",71.3309859562983,212,"L",24,2,"NYR",28,1,1,31.8261
"117","8/7/94","Melville","CAN",71.9893519355764,205,"R",23,4,"NJD",76,11,9,47.4215
"118","10/5/93","Pelhrimov","CZE",75.8536429236766,205,"R",24,2,"DET",68,5,11,35.78
"119","11/5/93","North Vancouver","CAN",72.8712391059051,200,"R",24,4,"NSH",81,15,9,25.425
"120","10/12/93","Eau Claire","USA",75.8665416570288,210,"L",24,5,"BUF",53,7,3,56.5283
"121","11/24/89","Kitchener","CAN",73.4280343077007,181,"L",28,7,"OTT",82,19,22,37.2918
"122","2/2/94","Fergus","CAN",75.6521426310227,185,"L",23,3,"CAR",80,30,16,30.0438
"123","4/20/92","Swan River","CAN",71.9872242706697,208,"L",25,4,"CGY",77,12,21,24.2431
"124","7/11/84","Plover","USA",68.923519999667,195,"R",33,12,"SJS",82,24,22,27.8036
"125","4/13/94","Orland Park","USA",71.501385764231,192,"R",23,4,"TOR",47,3,4,48.7273
"126","5/25/84","St. Paul","CAN",77.4083014040492,209,"R",33,13,"STL",81,11,10,35.0265
"127","6/23/94","Alma","CAN",72.2001639228955,188,"L",23,3,"MTL",72,27,10,33.4581
"128","3/9/94","Duluth","USA",73.4912420120451,200,"L",23,1,"COL",37,8,0,31.48
"129","7/4/94","Stouffville","CAN",69.4262769419678,186,"L",23,2,"CAR",1,0,0,59
"130","2/15/94","Saskatoon","CAN",70.4822553883542,180,"L",23,3,"PHI",39,3,1,36.0417
"131","5/1/94","Denver","USA",71.6774606864666,205,"L",23,3,"CAR",82,9,8,49.3961
"132","8/6/94","London","CAN",76.6901992578271,188,"L",23,3,"DET",71,22,16,28.9471
"133","9/15/79","Aneroid","CAN",71.6385487871979,215,"L",38,20,"TOR",82,6,27,25.0539
"134","4/16/94","Toronto","CAN",73.5383141375418,190,"L",23,2,"DAL",46,6,6,28.9762
"135","1/6/94","Edmonton","CAN",74.3317597492291,187,"L",24,4,"CGY",71,12,2,51.9041
"136","10/6/94","Omaha","USA",73.4478573809238,180,"L",23,2,"PIT",82,16,22,24.4386
"137","5/20/93","Greenfield Park","CAN",75.1358165880821,170,"L",24,1,"ANA",25,4,6,22.2692
"138","11/5/84","Nordingra","SWE",73.0950362005714,180,"L",33,11,"WPG",43,2,1,54.5484
"139","8/13/93","Gaspe","CAN",74.5878146035837,198,"L",24,5,"TBL",56,18,5,24.6719
"140","3/27/85","Roseau","USA",74.8045856841202,260,"R",32,13,"WPG",69,12,8,49.9534
"141","3/14/92","Nynashamn","SWE",74.7756507147127,176,"L",25,2,"CHI",35,1,5,47.6338
"142","10/12/85","Malmö","SWE",73.9447794220452,210,"L",32,6,"COL",77,14,16,30.0667
"143","1/30/94","Berlin","USA",74.4744171317534,185,"R",24,2,"SJS, BUF",21,1,0,29.8235
"144","9/6/92","Grand Forks","USA",69.8728986042105,198,"R",25,2,"LAK",12,0,3,55.3846
"145","1/20/87","Winnipeg","CAN",72.2108777930782,225,"R",31,8,"PIT, VGK",79,15,4,27.119
"146","4/3/94","Chicago","USA",76.0808236089076,173,"R",23,3,"CHI",50,11,7,29.4186
"147","11/1/83","North York","CAN",77.8907666112682,203,"L",34,11,"BUF",14,0,0,30.3077
"148","11/29/83","Regina","CAN",73.772158981711,213,"L",34,11,"CGY",16,5,0,35.7143
"149","5/31/96","Stratford","CAN",78.3382839586437,198,"L",21,3,"FLA",68,15,9,34.8042
"150","7/20/82","St. Agapit","CAN",71.1076610297931,197,"L",35,14,"ANA",64,14,8,29.4176
"151","11/24/84","Detroit","USA",76.7923770869267,212,"L",33,10,"DET",28,1,4,34.1212
"152","4/5/94","Fribourg","CHE",71.3204411187462,185,"R",23,3,"MIN",1,0,0,0
"153","3/24/94","Cambridge","CAN",73.7085493341783,210,"R",23,2,"TBL",48,13,3,53.6667
"154","7/18/94","Markham","CAN",74.4711006838082,182,"L",23,3,"ANA",3,0,0,40.5
"155","1/14/94","Toronto","CAN",73.7556078835064,185,"R",24,3,"TOR",82,11,14,27.3697
"156","4/20/93","Brockville","CAN",71.5424442919086,207,"L",24,3,"VAN",61,9,0,51.1262
"157","8/11/94","Vancouver","CAN",73.3317505953028,175,"L",23,1,"COL",79,10,19,25.8659
"158","3/21/93","Zurich","CHE",73.2601156294943,188,"L",24,4,"COL",50,12,8,32.8018
"159","9/24/88","Ann Arbor","USA",70.7652482447305,195,"R",29,6,"NYR",22,5,0,49.2903
"160","3/2/84","Karlskrona","SWE",73.285946477926,220,"L",33,11,"DET",81,7,3,50.314
"161","12/10/92","Plantation","USA",69.6287718787809,219,"L",25,2,"ANA",14,2,0,46.8571
"162","3/29/93","St. Louis","USA",73.2892159024981,210,"L",24,4,"WPG",45,8,8,30.2429
"163","8/6/94","Gothenburg","SWE",77.447150017904,169,"L",23,1,"WSH",63,6,3,40.8167
"164","6/17/93","Rumson","USA",74.72761542622,185,"L",24,1,"SJS",62,2,3,50.0127
"165","4/29/86","Anchorage","USA",75.1321820274958,205,"L",31,12,"CBJ",62,10,6,28.8202
"166","11/2/76","Virginia","USA",73.7469378460602,202,"L",41,20,"MIN",79,10,11,24.5481
"167","1/11/94","Lewisville","USA",73.4354374929166,200,"L",24,2,"ANA",2,0,0,0
"168","4/19/93","Chambersburg","USA",70.8456380005889,209,"R",24,1,"NYR",1,0,0,17
"169","7/29/94","Halifax","CAN",69.9076542305386,215,"L",23,3,"WSH",3,1,0,46
"170","3/29/93","Greenwich","USA",73.5904244151887,193,"L",24,2,"EDM",2,0,0,21
"171","3/25/94","Sauble Beach","CAN",74.3252895009098,233,"L",23,1,"LAK",34,8,1,44.7368
"172","6/6/95","Karlstad","SWE",72.4766895502253,214,"L",22,1,"CHI",6,0,0,34.4286
"173","11/28/91","Plano","USA",71.4448675442379,200,"L",26,2,"NJD",79,23,13,28.2808
"174","5/27/94","Flin Flon","CAN",73.8308934940321,195,"L",23,1,"VAN",5,0,0,41.3333
"175","10/5/92","Glace Bay","CAN",72.5242101201127,208,"R",26,3,"ANA, MTL",72,8,4,29.8095
"176","3/1/84","Winnipeg","SWE",70.1128114749586,211,"L",33,13,"STL",76,17,15,32.375
"177","2/2/94","Vaxjo","SWE",73.5120778025027,195,"L",23,1,"TOR",4,1,0,46.2
"178","6/26/97","Regina","CAN",71.8520925999482,209,"R",20,1,"EDM",18,2,1,55
"179","10/3/83","Toronto","CAN",74.1046466562868,198,"L",34,12,"CGY",82,18,13,50.1636
"180","7/12/89","Ottawa","CAN",77.5313814256802,207,"L",28,7,"OTT",52,18,3,55.0909
"181","6/8/86","Bojnice","SVK",74.4899804418637,200,"L",31,12,"EDM",36,1,0,52.1667
"182","4/2/97","Surrey","CAN",75.7534650404144,175,"R",20,1,"MTL",23,3,1,51.3333
"183","2/1/90","Fort Lauderdale","USA",71.2083630012597,195,"R",27,5,"VAN",1,0,0,0
"184","2/23/90","Montreal","CAN",70.978732807638,208,"L",27,8,"BUF",82,13,5,53.2826
"185","9/26/80","Ornskoldsvik","SWE",69.8755189215119,190,"L",37,17,"VAN",81,10,23,28.1111
"186","9/26/80","Ornskoldsvik","SWE",69.9156760728184,183,"L",37,17,"VAN",82,11,3,28.7313
"187","3/19/86","Regina","CAN",69.8307980768294,199,"R",31,9,"TOR",81,10,11,27.7597
"188","5/26/93","Innisfil","CAN",74.1469943063779,210,"R",24,5,"TOR",16,4,1,28.16
"189","4/4/96","Toronto","CAN",70.9383969083431,184,"L",21,1,"CGY",10,0,0,25.1429
"190","8/20/91","Grande Prairie","CAN",73.4469758993193,192,"R",26,1,"NYI",34,4,3,30.7778
"191","9/14/86","Laurier-Station","CAN",72.1459833821725,180,"L",31,9,"NYR",71,10,6,25.6545
"192","6/8/97","Sorel-Tracy","CAN",73.7621910458756,182,"L",20,2,"NYI",71,6,21,24.2955
"193","3/9/85","Barrie","CAN",73.4249955116273,230,"R",32,14,"SJS",82,7,12,54.1657
"194","1/19/84","Edmonton","CAN",73.6358561346289,227,"R",34,11,"NYI",58,9,6,59.383
"195","9/29/90","Lakeville","USA",71.5314538670052,170,"R",27,6,"CBJ",21,1,1,32.3
"196","10/6/90","Landskrona","SWE",72.9179023168815,205,"L",27,8,"NJD",29,3,5,23.9048
"197","2/1/91","Smithtown","USA",69.6694209495695,185,"R",26,8,"NJD",62,28,24,28.3352
"198","11/1/92","Geneva","USA",75.3739842178968,175,"R",25,2,"NJD",6,1,1,21.2857
"199","8/8/91","Trail","CAN",73.5444746314035,176,"R",26,4,"MIN",2,0,1,29.3333
"200","2/7/91","Clinton","CAN",74.6016390523706,216,"L",26,9,"BUF",81,17,24,33.9304
"201","8/14/84","Kelowna","CAN",72.6992084956725,204,"L",33,13,"BUF",34,5,0,47.9333
"202","1/13/91","Ayr","CAN",73.3421906682747,211,"L",27,8,"LAK",50,10,6,30.5062
"203","10/1/90","Montreal","CAN",74.5583322880111,208,"R",27,6,"WSH",61,5,9,26.6949
"204","10/13/90","Gävle","SWE",71.6654456146426,202,"R",27,6,"ANA",77,10,17,28.1283
"205","11/16/90","Merrimack","USA",72.0926432152626,210,"L",27,4,"BOS",82,14,12,27.9323
"206","9/20/90","Mississauga","CAN",76.387685796669,208,"L",27,9,"NYI",82,20,37,23.7829
"207","3/7/90","Detroit","USA",72.4001126291596,192,"L",27,6,"DET",65,2,6,53.8308
"208","2/14/82","Trencin","SVK",72.7138065530395,200,"L",35,17,"LAK, OTT",46,6,11,28.9625
"209","8/2/91","Vancouver","CAN",71.0337669371068,212,"L",26,9,"BUF, SJS",78,23,29,27.2468
"210","8/22/91","Saskatoon","CAN",73.7200722470319,200,"L",26,9,"STL",82,21,28,27.5619
"211","6/5/89","Riverside","USA",74.0375766261396,179,"R",28,7,"CBJ",65,9,24,28.1558
"212","7/18/92","Wisconsin Rapids","USA",74.2446989307743,185,"R",25,3,"BUF",37,3,3,50.4583
"213","4/12/91","Norrkoping","SWE",73.6885318790633,206,"L",26,8,"STL, OTT",79,3,8,29.0714
"214","1/3/91","Hamilton","CAN",74.2008767715254,180,"R",27,7,"NSH",44,9,9,54.1455
"215","5/9/91","Carp","CAN",74.8888356463594,198,"L",26,6,"NYI",33,4,1,61.3864
"216","1/24/91","Windsor","CAN",71.6367894119215,209,"R",27,7,"EDM",74,12,7,27.3953
"217","8/2/95","Zilina","SVK",73.2309807768723,202,"L",22,2,"BOS",6,0,1,21
"218","12/12/95","Brooklyn","USA",73.4018335317531,185,"R",22,2,"SJS",77,13,11,32.4679
"219","3/20/91","Eden Prairie","USA",72.8076075515459,204,"L",26,8,"NYI",80,8,10,51.1242
"220","5/16/85","Peterborough","CAN",74.7395423837243,213,"R",32,13,"ANA",71,22,17,25.2367
"221","4/30/91","Boxford","USA",73.5244242239887,224,"L",26,6,"NYR",58,12,16,24.5839
"222","3/2/91","Stockholm","SWE",69.8513217344001,196,"L",26,8,"BUF",39,3,2,32.0286
