Salary,Arts,Biology & Life Science,Business,Communications & Journalism,Computers & Mathematics,Education,Engineering,Health,Humanities & Liberal Arts,Industrial Arts & Consumer Services,Interdisciplinary,Law & Public Policy,Physical Sciences,Psychology & Social Work,Social Science,Male,GPA
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.92
83000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.07
77000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.93
75000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.8
74000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.26
97000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.33
75000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.59
69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.76
84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.52
78000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.48
110000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.95
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.95
58000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.69
53000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3
72000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.89
72000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
96000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.77
79000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.79
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8
73000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.39
72000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.83
85000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.73
56000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.73
63000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.17
71000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.66
69000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.97
72000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.52
65000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.91
76000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.31
57000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.66
80000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.66
73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.86
70000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.96
73000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37
70000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.5
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.41
70000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.51
63000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.32
61000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.66
48000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.98
80000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73
82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.75
63000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51
87000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.91
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97
69000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.99
95000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.77
79000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.68
85000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.47
78000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.47
75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.83
83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.88
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02
91000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7
77000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.62
79000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.95
67000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77
69000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.91
72000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.56
67000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.7
73000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.87
61000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.34
57000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.93
65000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.73
54000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.52
68000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.86
69000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.72
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.68
78000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88
62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.87
83000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.16
89000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.65
81000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71
70000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.51
77000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.92
74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.71
66000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.98
85000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.09
74000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.12
82000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.73
69000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78
76000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
84000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.17
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.88
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.67
76000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86
95000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.27
52000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.43
61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57
56000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.04
69000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.63
83000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.85
84000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.92
94000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64
73000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.41
70000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.99
80000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.62
77000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.98
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35
56000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.09
82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.83
66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.83
58000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.91
58000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.89
75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.68
73000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.95
74000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
78000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.78
58000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.54
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56
90000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.23
60000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.14
84000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78
80000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.81
68000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.79
74000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.22
66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89
60000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.85
80000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
84000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.97
85000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6
69000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6
72000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.48
86000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.99
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37
63000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.85
74000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.4
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.43
79000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.36
76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.54
78000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.76
74000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.98
96000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.72
70000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.27
58000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.67
88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.83
81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.77
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.72
51000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.28
55000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.53
58000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.31
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.91
98000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.97
67000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.24
58000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.62
59000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.76
67000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.12
61000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.95
64000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.66
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03
85000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.83
65000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.23
67000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.32
62000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.98
82000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.81
91000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9
55000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.68
75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.93
87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.85
83000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.23
69000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.46
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.72
55000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04
73000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
81000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.71
80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.12
85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.95
83000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.56
74000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.67
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.72
73000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.74
73000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.73
65000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.6
66000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.44
84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.83
72000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.07
49000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.86
67000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.6
78000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77
71000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95
87000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.97
65000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.25
76000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.85
86000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.88
81000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01
90000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.51
64000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.45
88000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
96000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.89
85000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.62
61000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.49
71000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.65
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.81
57000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.12
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
75000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.53
83000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.55
75000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.71
60000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2
68000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.65
63000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.21
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.07
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.35
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.44
67000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.95
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08
77000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.74
65000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.75
86000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.82
74000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.52
60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99
77000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.99
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.75
84000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.37
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.92
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.42
86000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.66
79000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26
76000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.66
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71
63000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.38
74000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.98
88000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76
71000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.26
66000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.55
70000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.98
76000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.44
60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
74000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
94000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.69
64000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.42
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.05
79000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.05
61000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39
72000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.51
58000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.09
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.39
