Country,TotalCases,TotalDeaths,TotalTests,Population
USA,111367209,1199031,1186742917,334805269
India,45028429,533475,935879495,1406631776
France,40138560,167642,271490188,65584518
Germany,38819284,182439,122332384,83883596
Brazil,38407327,709765,63776166,215353593
S. Korea,34571873,35934,15804065,51329899
Japan,33803572,74694,100414883,125584838
Italy,26716804,196257,280238086,60262770
UK,24898914,232112,522526476,68497907
Russia,23957146,402264,273400000,145805947
Turkey,17232066,102174,162743369,85561976
Spain,13914811,121760,471036328,46719142
Australia,11812730,24228,81916639,26068792
Vietnam,11624114,43206,85826548,98953541
Taiwan,10241523,19005,30742304,23888595
Argentina,10094643,130733,35716069,46010234
Netherlands,8634340,22992,25984435,17211447
Mexico,7702809,334958,20013810,131562772
Iran,7626527,146799,57320267,86022837
Indonesia,6828605,162033,114158919,279134505
Poland,6659256,120553,39259301,37739785
Colombia,6390825,143146,36951507,51512762
Greece,6101379,37869,102228365,10316637
Austria,6081287,22542,211273524,9066710
Portugal,5642217,28093,46139518,10140570
Ukraine,5557995,112418,32603805,43192122
Chile,5356303,64497,50382097,19250195
Malaysia,5274786,37347,68580916,33181072
Canada,4929750,58348,66572774,38388419
Belgium,4858488,34376,37454182,11668278
Israel,4841772,12707,41373364,9326000
DPRK,4772813,74,,25990679
Thailand,4766751,34564,17273454,70078203
Czechia,4758292,43503,57780549,10736784
Peru,4572667,222161,39010194,33684208
Switzerland,4451386,14452,23833472,8773637
Philippines,4140383,66864,36102746,112508994
South Africa,4076463,102595,26795090,60756135
Romania,3524982,68860,28616133,19031335
Denmark,3183756,8814,129333107,5834950
Singapore,3001665,1933,24756666,5943546
Hong Kong,2928551,14542,76127725,7604299
Sweden,2753119,27293,19500873,10218971
Serbia,2614044,18057,13420125,8653016
New Zealand,2592549,5533,7768604,4898203
Iraq,2465545,25375,19544451,42164965
Hungary,2229804,49039,11394556,9606259
Bangladesh,2047373,29482,15254399,167885689
Slovakia,1877257,21219,7448789,5460193
Georgia,1855289,17132,16920079,3968738
Jordan,1746997,14122,17201885,10300869
Ireland,1733110,9480,13083449,5020199
Pakistan,1581936,30664,30589153,229488994
Finland,1515108,11939,12108977,5554960
Norway,1509662,6636,11002430,5511370
Kazakhstan,1411831,13848,11575012,19205043
Lithuania,1396037,9895,10540357,2661708
Slovenia,1356402,7100,2847701,2078034
Bulgaria,1339321,38737,11623445,6844597
Croatia,1309728,18687,5660084,4059286
Guatemala,1286737,20283,7593848,18584039
Morocco,1278844,16301,13001033,37772756
Lebanon,1243838,10952,4795578,6684849
Costa Rica,1238883,9428,4659757,5182354
Bolivia,1211716,22407,2710261,11992656
Tunisia,1153361,29423,5013383,12046656
Cuba,1115235,8530,14400079,11305652
Ecuador,1070188,36043,3082403,18113361
UAE,1067030,2349,200732262,10081785
Panama,1059742,8726,7847296,4446964
Uruguay,1041111,7664,6114822,3496016
Mongolia,1011456,2284,4030048,3378078
Nepal,1003450,12031,6047766,30225582
Belarus,994037,7118,13646641,9432800
Latvia,982232,6675,7885792,1848837
Saudi Arabia,841469,9646,45481735,35844909
Paraguay,837602,20151,2657506,7305843
Azerbaijan,834630,10400,7748050,10300205
Bahrain,729549,1574,10948549,1783983
Cyprus,681110,1365,9640118,1223387
Dominican Republic,674608,4384,3740928,11056370
Sri Lanka,672748,16897,6486117,21575842
Kuwait,667026,2570,8455743,4380326
Myanmar,641770,19495,11656269,55227143
Moldova,634130,12202,3216305,4013171
Estonia,627743,3001,6939567,1321910
Palestine,621008,5404,3078533,5345541
Venezuela,552695,5856,3359014,29266991
Egypt,516023,24613,3693367,106156692
Qatar,514524,690,4065369,2979915
Libya,507274,6437,2483848,7040745
Ethiopia,501117,7574,5565340,120812698
Réunion,494595,921,1603660,908061
Honduras,474590,11165,1660662,10221247
Armenia,451426,8776,3242901,2971966
Bosnia and Herzegovina,403565,16382,1884721,3249317
Oman,399449,4628,2.5e+07,5323993
Luxembourg,391020,1232,4587145,642371
North Macedonia,350509,9971,2226216,2081304
Zambia,349304,4069,4112961,19470234
Kenya,344130,5689,3967062,56215221
Brunei,342802,225,717784,445431
Albania,334863,3605,1941032,2866374
Botswana,330442,2801,2026898,2441162
Montenegro,296452,2845,2769281,627950
Algeria,272010,6881,230960,45350148
Nigeria,267188,3155,5708974,216746934
Zimbabwe,266319,5737,2525756,15331428
Uzbekistan,253662,1637,1377915,34382084
Mozambique,233731,2250,1371127,33089461
Afghanistan,231625,7984,1359910,40754388
Martinique,230354,1102,828928,374087
Laos,218934,758,1233207,7481023
Iceland,209884,229,1996384,345393
Kyrgyzstan,206897,2991,1907195,6728271
Guadeloupe,203235,1021,938039,399794
El Salvador,201855,4230,2610114,6550389
Trinidad and Tobago,191496,4390,913289,1406585
Maldives,186694,316,2213831,540985
Namibia,172280,4103,1062663,2633874
Uganda,171983,3632,3012408,48432863
Ghana,171889,1462,2541625,32395450
Jamaica,156834,3739,1183986,2985094
Cambodia,139091,3056,3091420,17168639
Rwanda,133518,1468,6021981,13600464
Cameroon,125359,1974,1751774,27911548
Malta,121392,882,2167457,444033
Barbados,110480,648,813173,288023
Angola,107322,1937,1499795,35027343
Channel Islands,101717,228,1252808,176463
DRC,99338,1468,846704,95240792
French Guiana,98041,420,651257,314169
Malawi,89168,2686,624784,20180839
Senegal,89053,1971,1146543,17653671
Ivory Coast,88384,835,1690934,27742298
Suriname,82588,1408,242207,596831
New Caledonia,80064,314,98964,290915
French Polynesia,79254,650,,284164
Eswatini,75191,1427,1048704,1184817
Guyana,74137,1300,733218,794045
Belize,71381,688,576016,412190
Fiji,69117,885,672883,909466
Madagascar,68486,1426,531329,29178077
Cabo Verde,64477,417,401622,567678
Sudan,63993,5046,562941,45992020
Mauritania,63832,997,1009957,4901981
Bhutan,62697,21,2303734,787941
Syria,57743,3165,146269,19364809
Burundi,54721,38,345742,12624840
Seychelles,51220,172,,99426
Gabon,49051,307,1621909,2331533
Andorra,48015,165,249838,77463
Papua New Guinea,46864,670,249149,9292169
Curaçao,45986,295,496693,165529
Aruba,44224,292,177885,107609
Tanzania,43223,846,,63298550
Mauritius,43025,1051,358675,1274727
Mayotte,42027,188,176919,286259
Togo,39557,290,814921,8680837
Guinea,38572,468,660107,13865691
Bahamas,38084,844,257839,400516
Isle of Man,38008,116,150753,85732
Lesotho,36138,723,431221,2175699
Faeroe Islands,34658,28,778000,49233
Haiti,34542,860,132422,11680283
Mali,33164,743,804909,21473764
Cayman Islands,31472,37,222773,67277
Saint Lucia,30215,410,210983,185113
Benin,28036,163,604310,12784726
Somalia,27334,1361,400466,16841795
Micronesia,26547,65,82430,117489
San Marino,26185,128,196855,34085
Solomon Islands,25954,199,,721159
Congo,25375,386,347815,5797805
Timor-Leste,23460,138,278529,1369429
Macao,22706,123,7850,667490
Burkina Faso,22109,400,248995,22102838
Liechtenstein,21572,94,112457,38387
Gibraltar,20550,113,534283,33704
Grenada,19693,238,182981,113475
Bermuda,18860,165,1029558,61939
South Sudan,18819,147,410280,11618511
Nicaragua,18491,225,,6779100
Tajikistan,17786,125,,9957464
Equatorial Guinea,17229,183,365697,1496662
Monaco,17181,67,78646,39783
Samoa,17006,31,187397,202239
Tonga,16950,13,535009,107749
Marshall Islands,16138,17,,60057
Dominica,16038,74,229344,72344
Djibouti,15690,189,305941,1016097
CAR,15440,113,81294,5016678
Gambia,12626,372,155686,2558482
Saint Martin,12324,63,112382,39730
Vanuatu,12019,14,24976,321832
Greenland,11971,21,164926,56973
Yemen,11945,2159,329592,31154867
Caribbean Netherlands,11682,38,30126,26647
Sint Maarten,11051,92,62056,43966
Eritrea,10189,103,23693,3662244
Niger,9931,312,254538,26083660
St. Vincent Grenadines,9674,124,114197,111551
Guinea-Bissau,9614,177,145231,2063367
Comoros,9109,161,,907419
Antigua and Barbuda,9106,146,18901,99509
Liberia,8090,295,139824,5305117
Sierra Leone,7779,126,259958,8306436
Chad,7701,194,191341,17413580
British Virgin Islands,7392,64,107339,30596
Cook Islands,7203,2,19690,17571
Sao Tome and Principe,6751,80,29600,227679
Turks and Caicos,6749,40,616670,39741
Saint Kitts and Nevis,6607,48,126958,53871
Palau,6279,10,71280,18233
St. Barth,5507,6,78646,9945
Nauru,5393,1,20509,10903
Kiribati,5085,24,,123419
Anguilla,3904,12,51382,15230
Wallis and Futuna,3550,8,20508,10982
Saint Pierre Miquelon,3452,2,25400,5759
Tuvalu,2943,1,,12066
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,